can_id,can_nam,can_off,can_off_sta,can_off_dis,can_par_aff,can_inc_cha_ope_sea,can_cit,can_sta,can_zip,cov_sta_dat,cov_end_dat,ind_con,net_ope_exp,tot_con,tot_dis,net_con,ope_exp,tot_rec,winner
H2GA12121,"ALLEN, RICHARD W",H,GA,12.0,REP,INCUMBENT,AUGUSTA,GA,30904.0,1/1/2015,10/19/2016,601274.5,907156.21,1074949.5,978518.98,1074949.5,908518.98,1094022.76,Y
H6PA02171,"EVANS, DWIGHT",H,PA,2.0,DEM,CHALLENGER,PHILADELPHIA,PA,19138.0,11/2/2015,10/19/2016,1114711.02,1298831.83,1417545.22,1313583.69,1406719.06,1300557.53,1419270.92,Y
H6FL04105,"RUTHERFORD, JOHN",H,FL,4.0,REP,OPEN,JACKSONVILLE,FL,32224.0,4/1/2016,10/19/2016,542105.38,656210.29,650855.38,675642.76,650855.38,656642.76,711287.85,Y
H4MT01041,"ZINKE, RYAN K",H,MT,0.0,REP,INCUMBENT,WHITEFISH,MT,599373010.0,1/1/2015,10/19/2016,4317331.58,5055942.15,4980915.41,5200630.0,4938943.74,5073110.33,5190887.78,Y
H8CA09060,"LEE, BARBARA",H,CA,13.0,DEM,INCUMBENT,OAKLAND,CA,94612.0,1/1/2015,10/19/2016,897123.61,949488.98,1205863.61,1112163.94,1197676.61,953436.94,1209811.57,Y
H6NC04037,"PRICE, DAVID E.",H,NC,4.0,DEM,INCUMBENT,RALEIGH,NC,27602.0,1/1/2015,10/19/2016,328804.52,430826.04,728854.52,675837.98,725854.52,435688.13,733716.61,Y
H2WI02124,"POCAN, MARK",H,WI,2.0,DEM,INCUMBENT,MADISON,WI,53701.0,1/1/2015,10/19/2016,393873.83,445438.15,970547.37,745903.44,970385.04,445465.15,970574.37,Y
H2MA09072,"LYNCH, STEPHEN",H,MA,8.0,DEM,INCUMBENT,SOUTH BOSTON,MA,2127.0,1/1/2015,10/19/2016,767049.56,459790.68,1092269.56,493047.23,1092218.56,464636.23,1097115.11,Y
H6OR02116,"WALDEN, GREGORY P MR.",H,OR,2.0,REP,INCUMBENT,HOOD RIVER,OR,970311456.0,1/1/2015,10/19/2016,969437.03,1911215.54,3012350.64,2866919.77,3004650.64,1937694.04,3134128.86,Y
H2MA04073,"KENNEDY, JOSEPH P III",H,MA,4.0,DEM,INCUMBENT,NEWTON,MA,2459.0,1/1/2015,10/19/2016,1938192.38,1537844.39,2797967.38,1553016.8,2784362.26,1539411.68,3011173.93,Y
H8WI09050,"SENSENBRENNER, F. JAMES JR.",H,WI,5.0,REP,INCUMBENT,MENOMONEE FALLS,WI,53051.0,1/1/2015,10/19/2016,175453.15,265824.16,365203.15,269824.16,365203.15,265824.16,365556.2,Y
H0FL08208,"WEBSTER, DANIEL",H,FL,11.0,REP,INCUMBENT,WEBSTER,FL,33597.0,1/1/2015,10/19/2016,622207.86,785298.58,836057.86,921708.58,830657.86,785308.58,836222.01,Y
H8ME01120,"PINGREE, CHELLIE M",H,ME,1.0,DEM,INCUMBENT,NORTH HAVEN,ME,4853.0,1/1/2015,10/19/2016,381321.14,238294.57,573557.98,243655.52,571307.98,239805.52,575086.98,Y
H6FL01119,"GAETZ, MATT",H,FL,1.0,REP,OPEN,FORT WALTON BEACH,FL,32548.0,1/1/2016,10/19/2016,687024.23,993759.23,952163.89,1021759.23,951163.89,993759.23,1067163.89,Y
H6FL09070,"BILIRAKIS, GUS M",H,FL,12.0,REP,INCUMBENT,TARPON SPRINGS,FL,346880606.0,1/1/2015,10/19/2016,571982.43,1260554.41,1308157.43,1437850.99,1306012.36,1266055.92,1315645.73,Y
H4PA18131,"DOYLE, MIKE",H,PA,14.0,DEM,INCUMBENT,PITTSBURGH,PA,15221.0,1/1/2015,10/19/2016,144979.44,454476.55,782713.7,705585.79,777713.7,457290.79,786805.57,Y
H8CO02137,"POLIS, JARED",H,CO,2.0,DEM,INCUMBENT,BOULDER,CO,80306.0,1/1/2015,10/19/2016,886106.93,1102838.77,1283835.94,1204153.74,1281823.94,1103191.74,1285375.44,Y
H6MN05183,"ELLISON, KEITH MAURICE",H,MN,5.0,DEM,INCUMBENT,MINNEAPOLIS,MN,55406.0,1/1/2015,10/19/2016,1998003.46,1622329.1,2301753.46,2148597.6,2294848.39,1628028.8,2351470.42,Y
H8MO09153,"LUETKEMEYER, W BLAINE",H,MO,3.0,REP,INCUMBENT,ST ELIZABETH,MO,65075.0,1/1/2015,10/19/2016,517352.63,550469.87,1809804.99,858354.38,1795890.99,556138.38,1834188.31,Y
H6IL18088,"LAHOOD, DARIN MCKAY",H,IL,18.0,REP,INCUMBENT,DUNLAP,IL,61525.0,1/1/2015,10/19/2016,1386124.33,1941921.99,2434843.83,2026989.91,2424378.83,1951949.91,2487872.74,Y
H8FL15107,"POSEY, BILL",H,FL,8.0,REP,INCUMBENT,MELBOURNE,FL,32941.0,1/1/2015,10/19/2016,463223.04,516550.17,845043.04,599565.07,837793.04,517015.07,845910.54,Y
H4VA08224,"BEYER, DONALD STERNOFF JR.",H,VA,8.0,DEM,INCUMBENT,ALEXANDRIA,VA,22314.0,1/1/2015,10/19/2016,1155475.29,742454.92,1989963.61,1280886.52,1982462.14,761705.05,2009382.93,Y
H2MI14111,"LAWRENCE, BRENDA LULENAR",H,MI,14.0,DEM,INCUMBENT,SOUTHFIELD,MI,48076.0,1/1/2015,10/19/2016,314840.19,498853.15,782933.08,644597.37,766433.08,499453.15,783774.31,Y
H0OH12062,"TIBERI, PATRICK J.",H,OH,12.0,REP,INCUMBENT,GALENA,OH,430218059.0,1/1/2015,10/19/2016,1562632.29,1318584.81,4261647.29,1580568.48,4258847.29,1319059.81,4280521.38,Y
H0LA01087,"SCALISE, STEVE MR.",H,LA,1.0,REP,INCUMBENT,JEFFERSON,LA,70121.0,1/1/2015,10/19/2016,430103.21,2449513.59,868953.07,3406764.06,863953.07,2459809.06,3378975.05,Y
H6GA05217,"LEWIS, JOHN R.",H,GA,5.0,DEM,INCUMBENT,ATLANTA,GA,30331.0,1/1/2015,10/19/2016,411643.33,655566.55,983493.33,931861.53,980363.33,655731.53,983658.31,Y
H4CO04090,"BUCK, KENNETH R",H,CO,4.0,REP,INCUMBENT,GREELEY,CO,80633.0,1/1/2015,10/19/2016,520241.76,550056.91,814511.67,703143.1,808161.67,551168.76,964262.48,Y
H4AL06098,"PALMER, GARY",H,AL,6.0,REP,INCUMBENT,BIRMINGHAM,AL,352093502.0,1/1/2015,10/19/2016,908160.52,451946.24,1187424.52,609868.94,1175074.52,465478.12,1201956.4,Y
H8OH05036,"LATTA, ROBERT EDWARD MR",H,OH,5.0,REP,INCUMBENT,BOWLING GREEN,OH,434025211.0,1/1/2015,10/19/2016,407646.12,384494.66,1000568.32,614047.11,998358.48,384642.27,1000716.5,Y
H6FL19087,"ROONEY, FRANCIS",H,FL,19.0,REP,OPEN,TAMPA,FL,33606.0,4/1/2016,10/19/2016,867258.5,4718541.53,4554012.5,4722777.88,4550062.5,4718827.88,5004298.85,Y
H2MO02102,"WAGNER, ANN L.",H,MO,2.0,REP,INCUMBENT,BALLWIN,MO,63022.0,1/1/2015,10/19/2016,1055210.7,1118312.25,2210960.7,1205337.65,2202760.7,1122537.65,2215186.1,Y
H4NC01046,"BUTTERFIELD, G K",H,NC,1.0,DEM,INCUMBENT,WILSON,NC,27893.0,1/1/2015,10/19/2016,178842.48,645262.84,1034423.84,752625.19,1033153.84,653860.34,1043092.9,Y
H8PA01153,"BRADY, ROBERT A",H,PA,1.0,DEM,INCUMBENT,WASHINGTON,DC,20515.0,1/1/2015,10/19/2016,338866.0,302059.98,644566.0,625124.98,644566.0,302059.98,650717.96,Y
H0SD00054,"NOEM, KRISTI LYNN",H,SD,0.0,REP,INCUMBENT,SIOUX FALLS,SD,571017101.0,1/1/2015,10/19/2016,1109908.45,1082356.55,2225295.45,1153763.9,2217745.45,1090103.9,2245926.4,Y
H0MO06073,"GRAVES, SAMUEL B JR 'SAM'",H,MO,6.0,REP,INCUMBENT,TARKIO,MO,64491.0,1/1/2015,10/19/2016,279897.05,1008699.48,1422218.45,1279592.77,1418918.45,1010699.48,1463278.61,Y
H0ID01253,"LABRADOR, RAUL R. HON.",H,ID,1.0,REP,INCUMBENT,EAGLE,ID,836163636.0,1/1/2015,10/19/2016,260824.92,755746.58,466174.92,822609.85,463860.74,761145.67,472174.01,Y
